Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
BALSAM LAKE,6902,5,443748,784843,1997,3.9,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,1998,3.5,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,1999,3.9,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2000,5.1,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2001,4.3,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2002,3.5,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2003,3.8,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2004,3.4,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2005,4.5,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2006,4.4,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2007,4.8,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2008,4.6,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2009,3.8,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2010,3.6,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2011,3.6,44,37,48,78,48,43
BALSAM LAKE,6902,5,443748,784843,2012,3.7,44,37,48,78,48,43
