Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
AIRD LAKE,33,2,450781,770451,2016,6.2,45,7,81,77,4,51,,45.13916667,,45.13916667,,77.08083333,,77.08083333,,-77.08083333,,-77.08083333
AIRPORT LAKE,6567,1,495233,932633,2006,17.7,49,52,33,93,26,33,,49.87583333,,49.87583333,,93.4425,,93.4425,,-93.4425,,-93.4425
AIRPORT LAKE,6567,1,495233,932633,2007,14.15,49,52,33,93,26,33,,49.87583333,,49.87583333,,93.4425,,93.4425,,-93.4425,,-93.4425
AKWESKWA LAKE,7590,1,481036,815415,2014,12.7,48,10,36,81,54,15,,48.17666667,,48.17666667,,81.90416667,,81.90416667,,-81.90416667,,-81.90416667
AKWESKWA LAKE,7590,1,481036,815415,2015,13.4,48,10,36,81,54,15,,48.17666667,,48.17666667,,81.90416667,,81.90416667,,-81.90416667,,-81.90416667
AKWESKWA LAKE,7590,1,481036,815415,2016,10,48,10,36,81,54,15,,48.17666667,,48.17666667,,81.90416667,,81.90416667,,-81.90416667,,-81.90416667
AKWESKWA LAKE,7590,2,480925,815356,2014,11.1,48,9,25,81,53,56,,48.15694444,,48.15694444,,81.89888889,,81.89888889,,-81.89888889,,-81.89888889
AKWESKWA LAKE,7590,2,480925,815356,2015,11.6,48,9,25,81,53,56,,48.15694444,,48.15694444,,81.89888889,,81.89888889,,-81.89888889,,-81.89888889
AKWESKWA LAKE,7590,2,480925,815356,2016,9.7,48,9,25,81,53,56,,48.15694444,,48.15694444,,81.89888889,,81.89888889,,-81.89888889,,-81.89888889
ALBION LAKE,5204,1,450279,775884,2015,13.7,45,2,79,77,58,84,,45.05527778,,45.05527778,,77.99,,77.99,,-77.99,,-77.99
ALCES LAKE,6113,1,464521,820822,2004,8.3,46,45,21,82,8,22,,46.75583333,,46.75583333,,82.13944444,,82.13944444,,-82.13944444,,-82.13944444
