Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
ARMSTRONG LAKE,7452,1,463150,813330,2008,7.7,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2009,11.15,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2010,7.5,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2011,6.7,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2012,4.9,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2013,5.9,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2014,16.6,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2015,7.5,46,31,50,81,33,30
ARMSTRONG LAKE,7452,1,463150,813330,2016,5.4,46,31,50,81,33,30
ARNOTT LAKE,123,1,493552,843559,2015,5,49,35,52,84,35,59
ARNOTT LAKE,123,1,493552,843559,2016,5.6,49,35,52,84,35,59
ARNOTT LAKE,123,2,493555,843636,2015,4.2,49,35,55,84,36,36
ARNOTT LAKE,123,2,493555,843636,2016,5,49,35,55,84,36,36
ARROW LAKE,125,2,480853,901911,2004,3.15,48,08,53,90,19,11
ARROW LAKE,125,2,480853,901911,2005,2.7,48,08,53,90,19,11
ARROW LAKE,125,2,480853,901911,2006,4.65,48,08,53,90,19,11
ARROW LAKE,125,2,480853,901911,2008,5.15,48,08,53,90,19,11
ARROW LAKE,125,3,480844,901857,2010,3.9,48,08,44,90,18,57
ARROW LAKE,125,3,480844,901857,2012,5.2,48,08,44,90,18,57
ARROW LAKE,125,4,480958,901436,2010,3.8,48,09,58,90,14,36
ARROW LAKE,125,4,480958,901436,2012,4.4,48,09,58,90,14,36
ARROW LAKE,125,5,481025,901205,2010,4.2,48,10,25,90,12,05
ARROW LAKE,125,5,481025,901205,2012,5.5,48,10,25,90,12,05
ARROW LAKE,125,6,481018,901011,2010,4.2,48,10,18,90,10,11
ARROW LAKE,125,6,481018,901011,2012,5,48,10,18,90,10,11
ARROWHEAD LAKE (RAT),126,1,452353,791212,2016,11.7,45,23,53,79,12,12
ASHBY LAKE,131,2,450540,772145,2002,6.8,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2003,15,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2004,4.75,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2005,4.45,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2006,6.5,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2007,5.35,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2008,7.15,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2009,5.55,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2010,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2011,4.6,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2012,4,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2013,5.1,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2014,8.3,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2015,7,45,05,40,77,21,45
ASHBY LAKE,131,2,450540,772145,2016,3.3,45,05,40,77,21,45
ASHBY LAKE,131,3,450527,772109,2002,5.95,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2003,3.85,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2004,6.3,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2005,5.9,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2006,5.85,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2007,4.5,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2008,5.5,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2009,6.1,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2010,4.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2011,6.7,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2012,5.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2013,6.7,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2014,5.8,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2015,5.2,45,05,27,77,21,09
ASHBY LAKE,131,3,450527,772109,2016,3.7,45,05,27,77,21,09
ASHBY LAKE,131,4,450524,772032,2005,5.05,45,05,24,77,20,32
ASHBY LAKE,131,4,450524,772032,2013,5.3,45,05,24,77,20,32
ASHBY LAKE,131,5,450515,772130,2005,4.9,45,05,15,77,21,30
ASHBY LAKE,131,6,450541,772131,2005,4.65,45,05,41,77,21,31
ASHBY LAKE,131,6,450541,772131,2013,4.5,45,05,41,77,21,31
ASHBY LAKE,131,7,450541,772050,2005,6.6,45,05,41,77,20,50
ASHBY LAKE,131,7,450541,772050,2013,5.1,45,05,41,77,20,50
ASHBY LAKE,131,8,450527,772111,2013,4.7,45,05,27,77,21,11
ASHIGAMI LAKE,132,1,463900,803400,2006,5.1,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2008,4.1,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2009,4.6,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2010,4.1,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2011,7.4,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2012,4.6,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2013,4.7,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2014,5,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2015,5.3,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2016,4.6,46,39,00,80,34,00
ASHIGAMI LAKE,132,2,464008,803357,2006,4.15,46,40,08,80,33,57
ASHIGAMI LAKE,132,2,464008,803357,2007,5.35,46,40,08,80,33,57
ASHIGAMI LAKE,132,3,463900,803400,2010,4.5,46,39,00,80,34,00
ASHIGAMI LAKE,132,3,463900,803400,2012,4.2,46,39,00,80,34,00
ASTROLABE LAKE,6125,1,453610,765012,2003,8,45,36,10,76,50,12
ATHELSTANE LAKE,136,1,484605,901408,2010,9.3,48,46,05,90,14,08
ATHELSTANE LAKE,136,1,484605,901408,2012,9.5,48,46,05,90,14,08
ATHELSTANE LAKE,136,2,484628,901205,2010,10,48,46,28,90,12,05
ATHELSTANE LAKE,136,2,484628,901205,2012,9.4,48,46,28,90,12,05
ATKINS LAKE,140,1,450707,791342,2003,9.2,45,07,07,79,13,42
AUSTEN LAKE,7460,1,480139,810311,2010,9.4,48,01,39,81,03,11
AUSTEN LAKE,7460,2,480312,810341,2010,7.3,48,03,12,81,03,41
AUSTIN LAKE,6932,1,495352,942234,2002,25.1,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2003,11.9,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2004,20.05,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2005,13.85,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2006,11.25,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2007,19.3,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2008,18.15,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2009,13.45,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2010,14.7,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2011,12.9,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2012,16.7,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2013,12.7,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2014,12.8,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2015,12,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2016,14.2,49,53,52,94,22,34
AUSTIN LAKE,6932,2,495310,942230,2005,18.35,49,53,10,94,22,30
AUSTIN LAKE,6932,2,495310,942230,2014,13.7,49,53,10,94,22,30
AUSTIN LAKE,6932,2,495310,942230,2015,14.5,49,53,10,94,22,30
AUSTIN LAKE,6932,2,495310,942230,2016,17.2,49,53,10,94,22,30
AYLEN LAKE,160,1,453700,775100,2002,5.45,45,37,00,77,51,00
AYLEN LAKE,160,1,453700,775100,2003,1.55,45,37,00,77,51,00
AYLEN LAKE,160,1,453700,775100,2004,6.95,45,37,00,77,51,00
BABY LAKE,163,1,451545,794634,2003,6.3,45,15,45,79,46,34
BABY LAKE,163,2,451212,794724,2010,6.25,45,12,12,79,47,24
BABY LAKE,163,2,451212,794724,2012,5.3,45,12,12,79,47,24
BABY LAKE,163,2,451212,794724,2014,6.8,45,12,12,79,47,24
BABY LAKE,163,2,451212,794724,2016,16.2,45,12,12,79,47,24
BACK LAKE,165,1,451839,795458,2012,6.8,45,18,39,79,54,58
BACK LAKE,165,1,451839,795458,2013,8.9,45,18,39,79,54,58
BACK LAKE,165,1,451839,795458,2015,7.7,45,18,39,79,54,58
BAGOT LONG LAKE,171,1,451415,763855,2002,13.4,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2003,19.2,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,2004,9.7,45,14,15,76,38,55
