"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.5","","","","1"
"2005-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","66.9","","","","1"
"2005-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","67.0","","","","1"
"2005-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","67.0","","","","1"
"2006-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","67.5","","","","1"
"2006-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","67.7","","","","1"
"2006-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","67.9","","","","1"
"2006-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","68.2","","","","1"
"2006-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","68.4","","","","1"
"2006-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","68.7","","","","1"
"2006-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.1","","","","1"
"2006-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.6","","","","1"
"2006-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.6","","","","1"
"2006-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.6","","","","1"
"2006-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.8","","","","1"
"2006-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.9","","","","1"
"2007-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","69.9","","","","1"
"2007-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.0","","","","1"
"2007-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.0","","","","1"
"2007-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","70.0","","","","1"
